Name,Photo,Fix Sort,World Ranking,Country,Signed Contract,Bio,Residence,Sponsored by,DOB,Nickname,Height,Weight,TikTok,Twitch:,Website/Blog (if applicable),Year Turned Professional,Primary Sponsor(s),Favorite Disc,Signature Move or Shot,Career Highlights,Number of Tournaments Played,Notable Records or Milestones,Education,Other Sports Played,Hobbies Outside Disc Golf,Favorite Destination Played,Personal Motivation or Quote,In-Action Photo,Video Highlights Files,Video Highlights Links,Logo/Personal Branding File,Logo/Personal Branding Image,Injury History (if any),Current Fitness Regimen,Dietary Preferences or Restrictions,Long-Term Goals,Personal Mission Statement in Disc Golf,Primary Airport,Secondary (Alternate) Airport,Frequent Flyer Number(s)
Brad Hammock,,100,Announcer,,"{'name': 'Brad Hammock Letter of Intent.pdf', 'size': 240532, 'type': 'file', 'url': 'https://cloud.seatable.io/workspace/48226/asset/f2f8b3d1-e99d-49fa-97f5-8997b41678f5/files/2024-11/Brad%20Hammock%20Letter%20of%20Intent.pdf', 'upload_time': '2024-11-26T22:06:57.430+00:00'}","Brad. Hammock. 
Decatur, Georgia. Has Beaten Pau. WINS, PODIUMS, TOP TEN ... 2017 PDGA Professional Disc Golf World Championships. Jun, 2017","Decatur, Georgia",,,,,,,,,,,,,,,,"**(Highest Level, Major/Field of Study)​**",,,,,,,,,,,,,,,,,
Female,,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kristin Tattar,,1,# 1,,"{'name': 'Kristin Tattar Letter of Intent.pdf', 'size': 249713, 'type': 'file', 'url': 'https://cloud.seatable.io/workspace/48226/asset/f2f8b3d1-e99d-49fa-97f5-8997b41678f5/files/2024-11/Kristin%20Tattar%20Letter%20of%20Intent.pdf', 'upload_time': '2024-11-25T22:12:40.602+00:00'}","**Kristin Tattar** (born 3 July 1992 in [Pärnu](https://en.wikipedia.org/wiki/P%C3%A4rnu,_Estonia ""Pärnu, Estonia""))[\[6\]](https://en.wikipedia.org/wiki/Kristin_Tattar#cite_note-6) is an [Estonian](https://en.wikipedia.org/wiki/Estonia ""Estonia"") professional [disc golfer](https://en.wikipedia.org/wiki/Disc_golf ""Disc golf"") [\[7\]](https://en.wikipedia.org/wiki/Kristin_Tattar#cite_note-Tattar_PDGA-7) and former competitive cross-country [skier](https://en.wikipedia.org/wiki/Skiing ""Skiing"").[\[8\]](https://en.wikipedia.org/wiki/Kristin_Tattar#cite_note-Udisc_Tattar-8) In 2022 she became the female disc golf world champion[\[9\]](https://en.wikipedia.org/wiki/Kristin_Tattar#cite_note-World_Champ-9) for the first time. Tattar is the only female disc golfer in history to achieve a PDGA rating of 1000 or better (which happened in 2024),[\[10\]](https://en.wikipedia.org/wiki/Kristin_Tattar#cite_note-10) and is widely considered one of the greatest disc golfers in the history of the sport.
## Biography
\[edit]
Kristin Tattar graduated from the [Otepää](https://en.wikipedia.org/wiki/Otep%C3%A4%C3%A4 ""Otepää"") branch of the Audentes Sports School in 2011. After high school she went to [Tartu](https://en.wikipedia.org/wiki/Tartu ""Tartu"") and began studies at The Faculty of Law of the [University of Tartu](https://en.wikipedia.org/wiki/University_of_Tartu ""University of Tartu"").[\[11\]](https://en.wikipedia.org/wiki/Kristin_Tattar#cite_note-Inspiring_story-11)
She is a former member of the Estonian youth ski team and a two-time Estonian skiing champion as a youth.[\[12\]](https://en.wikipedia.org/wiki/Kristin_Tattar#cite_note-Tattars_rise-12) In 2011, Tattar gave up skiing due to ill health and started looking for new challenges.[\[12\]](https://en.wikipedia.org/wiki/Kristin_Tattar#cite_note-Tattars_rise-12) Three years later at age 22, she found disc golf and became a professional a year later. In November 2017 she, together with husband Silver Lätt, co-founded DG Academy, where both are coaches. DG Academy offers disc golf instruction, as well as weekly training sessions.[\[13\]](https://en.wikipedia.org/wiki/Kristin_Tattar#cite_note-13) They also work with course design and organization of various disc golf events and competitions. Since 2018, Tattar has been fully committed to a career in disc golf, both as a competitor and representative, and through the company she co-founded with Lätt.[\[8\]](https://en.wikipedia.org/wiki/Kristin_Tattar#cite_note-Udisc_Tattar-8) In 2021, her representative disc golf manufacturing company, [Latitude 64°](https://en.wikipedia.org/w/index.php?title=Latitude_64\&action=edit\&redlink=1 ""Latitude 64 (page does not exist)"") of [Sweden](https://en.wikipedia.org/wiki/Sweden ""Sweden"") signed her to a contract valued at up to \$500,000 USD for 4 years.[\[8\]](https://en.wikipedia.org/wiki/Kristin_Tattar#cite_note-Udisc_Tattar-8)","Pärnu, Estonia",Latitude 64°,7/3/1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evelina Salonen,,2,# 2,,"{'name': 'Eveliina Salonen Letter of Intent.pdf', 'size': 245376, 'type': 'file', 'url': 'https://cloud.seatable.io/workspace/48226/asset/f2f8b3d1-e99d-49fa-97f5-8997b41678f5/files/2024-09/Eveliina%20Salonen%20Letter%20of%20Intent.pdf', 'upload_time': '2024-09-25T00:36:14.834+00:00'}","Eveliina Salonen has been dreaming about this moment for her entire life – At last week’s 2024 PDGA Pro World Championships, Eveliina earned her first World title and third PDGA Major. She is the first Finnish player to win Worlds, coming from a country that has one of the most enthusiastic, committed disc golf communities anywhere. Needless to say, they are celebrating proudly in Finland. 
Fellow Star Team member, Kat Mertsch, put together a last day push that made this year’s final round one of the most memorable ever. She finished in 2nd place, her best result at a PDGA Major yet. In the MPO, Calvin Heimburg tied for 4th and multiple other Innova athletes from both divisions finished in the top 20.","Pirkkala, Finland",Innova,9/3/1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohn Scoggins,,3,# 3,,"{'name': 'Ohn Scoggins Letter of Intent.pdf', 'size': 275988, 'type': 'file', 'url': 'https://cloud.seatable.io/workspace/48226/asset/f2f8b3d1-e99d-49fa-97f5-8997b41678f5/files/2024-08/Ohn%20Scoggins%20Letter%20of%20Intent.pdf', 'upload_time': '2024-08-25T14:40:00.207+00:00'}","A Natural Athlete
When Ohn landed in Los Angeles in 2009 she was overwhelmed by the bright lights, huge freeway's and fast pace of life.  Full of optimism the girl from a small rice farming village in Laos was excited to start a new life in America but had no idea that she would one day be one of the most celebrated athletes in a sport that she had never heard of.
​
Ohn Phammavong grew up in a poor but loving family in a rice farming village in rural Laos before moving to Vientiane in search of work.  One day while visiting the tourist mecca of Vang Vieng she met a backpacker from America, Justin Scoggins.  Two weeks later Ohn and Justin were engaged and she joined him on his adventures backpacking across Asia.
​
Ohn and Justin returned to America in 2009 and settled into a life in Los Angeles where Justin introduced her to one of his hobbies, disc golf.  ""He had been asking me to go play for like a year"", said Ohn. It took some convincing for Justin to get Ohn would play but when she did it became evident that she was a natural.  ""Ohn is kind of a natural athlete"", Justin said. 
​
A weekend hobby would soon morph into a profession.  Ohn would go on to win tournaments across the country, landing a sponsorship with Innova and becoming a Pro Disc Golf Association (PDGA) Masters National and World Champion.  She took 7th at the 2022 PDGA World Championships and 3rd at the US Disc Golf National Champioships.  Ohn currently plays on the PDGA tour and is working towards her ultimate goal of becoming a PDGA World Champion. As of October 2022 Ohn was ranked #2 in the world.",Los Angeles,Innova,8/10/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missy Gannon,,4,# 4,,"{'name': 'Missy Gannon Letter of Intent.pdf', 'size': 246938, 'type': 'file', 'url': 'https://cloud.seatable.io/workspace/48226/asset/f2f8b3d1-e99d-49fa-97f5-8997b41678f5/files/2024-09/Missy%20Gannon%20Letter%20of%20Intent.pdf', 'upload_time': '2024-09-20T19:07:25.990+00:00'} {'name': 'Updated Missy Gannon Letter of Intent.pdf', 'size': 260011, 'type': 'file', 'url': 'https://cloud.seatable.io/workspace/48226/asset/f2f8b3d1-e99d-49fa-97f5-8997b41678f5/files/2024-11/Updated%20Missy%20Gannon%20Letter%20of%20Intent.pdf', 'upload_time': '2024-11-07T14:11:56.656+00:00'}","**Discovering Disc Golf: Missy’s Adventure Begins**
Born and raised in Beacon, New York, Missy Gannon’s competitive spirit was evident from a young age. [With a background in volleyball, basketball, and softball, she thrived in the realm of sports, always seeking new challenges to conquer. However, it wasn’t until 2014, when a friend introduced her to the world of disc golf, that Missy found her true calling](https://shopledgestone.com/blogs/news/get-to-know-missy-gannon).
​
Initially dipping her toes into the sport, Missy’s passion for disc golf truly ignited when she relocated to Colorado. Surrounded by a vibrant disc golf community, complete with weekly events and numerous clubs, Gannon found herself immersed in the game, playing and competing every weekend without fail.
Fast forward to 2017, a pivotal year for Gannon as she made her mark on the disc golf scene. Following a remarkable 3rd place finish at the [PDGA Amateur Disc Golf World Championships](https://www.pdga.com/tour/event/31540), Missy’s transition to the professional circuit was inevitable. By July 2018, she was hitting the road as a full-fledged professional, establishing herself as one of the top women in the sport.
### **Becoming “Big Money” Missy**
> With her first Major victory, Missy Gannon is your 2024 United States Women’s Disc Golf Championships FPO Champion!!! 🏆 [pic.twitter.com/GcIQ7WIBgi](https://t.co/GcIQ7WIBgi)
>
> — Disc Golf Pro Tour (@DiscGolfProTour) [March 24, 2024](https://twitter.com/DiscGolfProTour/status/1772033584070586409?ref_src=twsrc%5Etfw)
​
Currently sponsored by Discraft, Gannon’s accolades speak volumes. With a remarkable tally of 5 victories on the Disc Golf Pro Tour\* (excluding her 2 DGPT Silver wins), notably securing consecutive triumphs at the Ledgestone Open in 2022 and 2023, along with wins at DGPT Championships in 2021 and 2023. Currently ranked as the No. 3 player in the world according to the [StatMando World Rankings](https://statmando.com/rankings/official/fpo), Gannon’s dominance in the sport is unmistakable.
Gannon’s list of high-profile victories makes it easy to understand why she’s earned the nickname “Big Money” Missy! In her standout season of 2021, she clinched victories at both the Des Moines Challenge and the DGPT Championship. She’d cap off the year by setting the all-time FPO single-season tournament earnings record at the time, \$67,029.","Beacon, New York, United States",Discraft,12/1/1989,,5′ 7″,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holyn Handley,,5,# 5,,"{'name': 'Holy Handley Letter of Intent.pdf', 'size': 245743, 'type': 'file', 'url': 'https://cloud.seatable.io/workspace/48226/asset/f2f8b3d1-e99d-49fa-97f5-8997b41678f5/files/2024-09/Holy%20Handley%20Letter%20of%20Intent.pdf', 'upload_time': '2024-09-13T21:00:31.929+00:00'}","Sitting in a hotel room in Emporia, Kansas, Holyn Handley BS’17 found herself in the unfamiliar position of preparing for a news conference. The gathering, featuring select competitors on the Disc Golf Pro Tour in town for a tournament, was a first for the rising star.
“It’s the first time they invited me, and they usually only invite a handful of players,” said Handley, who lives in Austin, Texas.
She traveled in April to compete in the Dynamic Discs Open, a Professional Disc Golf Association event, which attracted 166 players from around the world. The tournament sponsor was a disc manufacturer whose professional traveling team Handley joined in her second year as a pro.
With a contract in hand, Handley put her engineering career on hold to pursue a rare chance to compete as a professional athlete.
“If I hate it, I’ll go back and find an engineering job,” she said. “But I just couldn’t pass it up.”
Handley is accustomed to the athletics spotlight. A standout volleyball player from Grapevine, Texas, she played for The University of Texas at Dallas for four years. Her team won back-to-back American Southwest Conference championships in 2015 and 2016, [setting a school record](https://news.utdallas.edu/campus-community/volleyball-soccer-teams-repeat-as-asc-titlists/) for wins during the latter season. Along the way, Handley was recognized individually with several conference honors.
![](https://news.utdallas.edu/files/2022/05/vb-1500.jpg)Holyn Handley BS’17 was a member of the UT Dallas volleyball team, which won back-to-back American Southwest Conference championships in 2015 and 2016.
Handley was also a standout engineering student in the [Erik Jonsson School of Engineering and Computer Science](https://engineering.utdallas.edu/). She balanced the demands of volleyball with challenging classes, working as an undergraduate research assistant and joining a student team competing to design a sensory rehabilitation device for the University’s [Texas Biomedical Device Center](https://txbdc.utdallas.edu/).
“I was waking up really early for hard practices, balancing that with school and figuring out how to work hard and work efficiently,” Handley said. “And you still had to get enough sleep.”
After graduating with a biomedical engineering degree, Handley — along with her boyfriend, Tyler Morgan BA’16 — moved to California for an engineering internship followed by a job offer as a process engineer for medical device company Applied Medical.
Handley had never played disc golf before she and Morgan moved to California. What began as casual throws around local parks and area courses became more serious as Handley’s skills steadily improved.
“We just got hooked on seeing how discs fly, and we started playing every weekend and buying better equipment,” Handley said. “I joined the Professional Disc Golf Association and began entering tournaments, where I was beating local pros.”
> “Professional disc golf is still very niche, but I’m starting to build a name for myself, and people are recognizing me. This has given me the opportunity to be an athlete again.”
>
> Holyn Handley BS’17
Disc golf is like traditional golf in that players walk nine- or 18-“hole” courses and aim to finish with the lowest score. In this case, though, competitors throw polypropylene discs and count throws instead of strokes. The “hole” is a short pole topped with a metal basket into which players toss or “putt” the disc. Top players often carry more than 20 discs in their bags, each designed for a specific task, similar to golf clubs.
“Shot-shaping is a really difficult skill that is so important when you play at a high level,” Handley said. “That requires you to have really good control over the speed and angle at which you release a disc. Reading extreme wind is another skill in itself. If you get the wind wrong, you’re really wrong.”
The more Handley played, the more she appeared on the podium, winning regional tournaments, including one in which she beat the reigning world champion.
“It was maybe my second professional tournament ever, and I ended up winning,” she said. “That got a lot of attention. It was a big deal that I showed up and beat a couple of the best women in the sport.”
That performance attracted potential sponsors, including Dynamic Discs. The company offered Handley a deal that pays her a salary, covers expenses and provides royalties on sales of the company’s discs while Handley tours full time.
“At first, I didn’t have any intention of going on tour, but I won some larger events, and Dynamic Discs made me an offer that I could make work financially, even giving up my job,” she said.
Handley finish 19th in Kansas at the Dynamic Discs Open, where windy conditions played havoc with competitors. But the season is young; players like Handley have more than 20 tournaments around the country from which to choose. Being a touring pro provides ample opportunity to grow a fan base that follows her on social media, tracks her results and even cheers for her at tournaments.
“Professional disc golf is still very niche, but I’m starting to build a name for myself, and people are recognizing me,” she said. “This has given me the opportunity to be an athlete again.”","Grapevine, Texas, United States",Discraft,1/1/1995,,5-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kat Mertsch,,6,# 6,,"{'name': 'Kat Mertsch Letter of Intent.pdf', 'size': 246908, 'type': 'file', 'url': 'https://cloud.seatable.io/workspace/48226/asset/f2f8b3d1-e99d-49fa-97f5-8997b41678f5/files/2024-09/Kat%20Mertsch%20Letter%20of%20Intent.pdf', 'upload_time': '2024-09-08T16:15:45.512+00:00'}","​
# Disc Golfer Kat Mertsch: Background & Disc Golf Career So Far
![](https://cdn.buttercms.com/sj2LTP0UR8KymDeSHvS5)[Jacob Arvidson](https://udisc.com/blog/author/jacob-arvidson)ContributorJul 21, 2022 • 7 min read
Kat Mertsch at the 2022 Waco Annual Charity Open. Photo: Disc Golf Pro TourThere's a rising force hailing from the South Central United States, and her name is Kat Mertsch.The Arkansas native's disc golf abilities have steadily improved since her initial appearance on the Disc Golf Pro Tour at the Jonesboro Open in 2019. By now, she's one of the most promising young stalwarts on tour.After taking the Professional Disc Golf Association's Rookie of the Year title in 2020, she earned four top 10 finishes on the DGPT and National Tour the following season. In 2022, she is currently eighth in FPO in DGPT tour points and has six top 10 finishes in Elite Series events, which includes a podium finish at the 2022 Jonesboro Open.We spoke with the young sharpshooter to learn more about her disc golf beginnings, her steady rise, and what makes her such a unique player to root for.Kat Mertsch's Disc Golf BeginningsIn the grand scheme of things, the 20-year-old Mertsch is still in her early days.She has been throwing discs competitively for over five years, but her first experience with the sport came earlier than that – and she readily admitted her initial impression of disc golf wasn't great.""My brother found this game, so he wanted to go play and compete against each other,"" Mertsch said. ""I'd seen the baskets in the park so I knew what he was talking about, but I just didn't get the concept. I couldn't figure out how to throw the Frisbee like he was throwing it. He was throwing it a lot farther and a lot straighter. Everything I was trying to do was going about 80 feet \[24 meters] to the left. I really didn't like it.""Kat Mertsch at the 2022 Jonesboro Open. Photo: DGPTHer brother, Wedge, kept pressing her to play and eventually it clicked. He handed her a yellow, David Wiggins Jr. edition, Innova Blizzard Boss. Inspired by her brother's forehand skills, she tried the Boss out on a forehand line and instantly fell in love.""I was out at a pool,"" she said. ""We weren't even at a course. I was just throwing Frisbees around a yard. Wedge threw the forehand a lot and I was just trying to make fun of him, but I threw it really well. I was like, 'This is what's up.'""Mertsch had been involved with many sports in her life but had never had much success. When she won her first disc golf event in the FA2 division at the 34th Annual Arkansas State Championships, her whole mindset changed.""I had never won anything sports-wise,"" she said. ""I was just kind of there helping out. Winning that tournament gave me a sense that this was something I could do, and this was something I could do well potentially. Disc golf gave me something I could feel proud about.""Mertsch's SponsorsThe first company to sponsor Mertsch was Prodigy in 2019. But even then it was only as a part of the Prodigy Street Team, a Prodigy program targeting grassroots players who love the brand, love the plastic, and will impact the sport on a local level.""Prodigy was the first company to reach out to me when I was young,"" she said. ""But after a little while I decided to part ways and go my own way. I remember thinking it was a big decision for a 16-year-old to handle.""She took a step up in 2020, accepting an offer from Kestrel, an Iowa-based disc golf company. With limited molds available, Mertsch was still able to compete with a mixed bag consisting mostly of Innova.""They were so supportive,"" she said. ""I am so grateful for people like that in the world who believe in people like me.""Following her Rookie of the Year award in 2020, much larger manufacturers came knocking. One of those companies was Innova, which was a no-brainer for Mertsch.Kat Mertch in her Team Innova shirt at the 2022 Jonesboro Open. Photo: DGPT""I always wanted to be sponsored by Innova or Discmania,"" she said. ""I always liked the molds and have been throwing Innova since I started. At the end of 2020 I got a text from Jonathan Poole at Innova and now I'm sponsored by Innova. I loved it.""A Focus on Mental HealthMertsch is a strong advocate for mental health. Experiences both from disc golf and a challenging family life resulting from being raised in a split household have made her value protecting her mind just as much as her body.""Spending too much time on the course or in the field is a good way to exhaust yourself and to potentially injure yourself,"" she said. ""The mental part does not get touched on the way that it needs to. Taking care of your mental health as a person affects your disc golf game.""Mertsch is very open about her struggles with anxiety. She recognizes that if enough time isn't spent working on her mind, her disc golf game takes a hit.""My anxiety isn't even about disc golf,"" she said. ""It's about life and everything else. You have to baby yourself and take care of yourself mentally before you can move forward physically. You can absolutely get out there and grind it physically if that's who you are, but you cannot neglect the mental health at all.""On the course, Mertsch has what she calls her ""safe spot,"" a mental stronghold that she says is the quietest place she knows.""I put myself in this little bubble where all I can hear is ducks and other weird sounds around me,"" she said.During the offseason, the mental preparation looks a bit different without having to prepare for competition every weekend, but Mertsch still focuses on it heavily. In the most recent offseason, Mertsch spent significantly less time on the course in January.""I tried to relax the entire month of January,"" she said. ""I read books, did a lot of mental work, did a lot of spiritual work, and burned sage on Mondays and Saturdays. It's just about doing a bunch of little things to build up to the big thing.""The positives that come out of having mental fortitude and putting in the time to take care of herself are what she lives for.""I run off of feelings a lot,"" she said. ""I'm a very emotional person and very sensitive to energy. That feeling of playing well is what I'm after when I play Frisbee golf. It's an indescribable feeling that you can only feel once you've succeeded at something.""Career JourneyMertsch notched her first official professional win in her home state of Arkansas at the Persimmon Ridge Flex Start Friday event in 2018, but as the only competitor in the FPO field, she views the next tournament she played as her first 'real' win. The 13th Northshore Invitational was where she got that first taste of victory.In 2018 and 2019, Mertsch tested herself at the PDGA Junior World Championships, coming up just short of a title on both occasions. She also took trips to the two nearest tour stops in 2019: the Glass Blown Open and the Jonesboro Open.Using those character-building experiences, Mertsch was primed for a breakout year in 2020. The wrench COVID-19 threw into the tour schedule shook things up for the entire world, but Mertsch managed to battle through it and still logged 24 FPO events through the year. Some highlights included three top 15 finishes on the DGPT, a podium finish at the Mid-America Open and, of course, the 2020 Rookie of the Year.Kat Mertsch at the 2022 Music City Open. Photo: DGPT""It was pretty cool to win Rookie of the Year,"" she said. ""It became my goal after I played the Silver Cup. After that, my mom told me I had a chance to win Rookie of the Year. And I went out and did it. It made me happy.""As the pandemic loosened its grip on the world, Mertsch entered 2021 with plans for a full tour. After a slow start, she found her groove in June and July, placing top five in back-to-back DGPT Silver Series events before taking two DGPT top 10s back-to-back at the Des Moines Challenge and the Great Lakes Open. She headed into the offseason with high hopes for 2022.""I was younger and didn't understand the functionality of it all yet,"" said Mertsch. ""I knew I had no idea what I was up against when I came out on the road last year. I always want to win, but in reality I knew I didn't know how to come about the win because you have to come about it a certain way. From there I set my mind on the tour and trying my very best to gain experience so I can attack this year. I still am learning how to come about the win in my own way, but I'm closer than I was last year.""Seeing How It GoesMertsch's introspection and self-awareness have allowed her to be objective with her own game and to continue to grow as a player.""I realized that I suck at upshots,"" she said. ""I worked a lot this offseason with midranges and putters. I feel like I've built a lot of confidence.""As she hones her skills, she is continually setting new goals for herself. She wrote specific things she wants to accomplish on a piece of paper at the beginning of the season to refer back to.""I'd like to get one big win, three A-tier wins, and become a stronger forehander,"" she said. ""Other than that, I'm doing what I set out to do so far and we'll see how the rest of it goes.""","Rose Bud, Arkansas, United States",Innova,2/25/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ella Hansen,,8,# 8,,"{'name': 'Ella Hansen Letter of Intent.pdf', 'size': 244267, 'type': 'file', 'url': 'https://cloud.seatable.io/workspace/48226/asset/f2f8b3d1-e99d-49fa-97f5-8997b41678f5/files/2024-09/Ella%20Hansen%20Letter%20of%20Intent.pdf', 'upload_time': '2024-09-25T19:08:08.295+00:00'}","I'm a full time professional disc golfer and constant competitor. I have been playing disc golf for 3 years, and played ultimate frisbee for 13+ years prior to disc golf. I was the 2021 PDGA rookie of the year, a 2023 DGPT all star, and have 3 national and 2 world titles in ultimate. I'm one of the furthest throwers on tour and I'm looking to break the distance world record.
Ella first played ""frolf"" on the University of Oregon campus for many years with her ultimate teammates, but played her first round with disc golf discs in the fall of 2019 with some Ultiworld crewmates while filming an ultimate tournament. She got her first golf discs from a friend a few months later, and started playing regularly in January 2020.
She has one career win, at the 2021 Siege at Pineway. She soon became one of the highest initially rated women upon joining the PDGA. She made the top 50% at her first National Tour and took second in the distance competition at 2021 Las Vegas Challenge! She's also a 2x ultimate world champion.
Goals for her disc golf career, she wants to make her first big lead card, win a national tour event, and become a consistent competitor with the top women in disc golf. Eventually she wants to win a disc golf world championship, too. She also strives to remain composed and in control at all times on the course, and play each shot as its own.","Seattle, Washington, United States",Discmania,1/1/1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hailey King,,9,# 9,,"{'name': 'Hailey King Letter of Intent.pdf', 'size': 247596, 'type': 'file', 'url': 'https://cloud.seatable.io/workspace/48226/asset/f2f8b3d1-e99d-49fa-97f5-8997b41678f5/files/2024-08/Hailey%20King%20Letter%20of%20Intent.pdf', 'upload_time': '2024-08-31T13:32:54.826+00:00'}","​
Hailey King captured the attention and the love of the disc golf community who watched as the relatively unknown athlete took down legends of the sport at the 2020 DGPT Championships. At just 18 years old, Hailey won the biggest payout in FPO history at the time and showed us all who the future of disc golf was. 
![](https://www.innovadiscs.com/wp-content/uploads/2023/04/LVC-FPO-D3-87-240x300.jpg)
Photo by DGPT
Since that pivotal victory, she has established herself as one of the top contenders in FPO. In the following season, Hailey took down the Dynamic Discs Open, the Green Mountain Championship, the Music City Open, and made the podium at multiple DGPT events and Majors. Her decision-making, mental game, and confidence made her look like a veteran on the course. With such an advanced level of play in such a young player, Innova could see Hailey’s uncapped potential. 
In 2022, Team Innova proudly signed Hailey King, a partnership we knew would lead to big success; but just how big a success it would be and how fast, we could have only dreamed. In her first year on the team, Hailey brought home a Major title, the 2022 United States Women’s Disc Golf Championship. That victory was the crowning achievement of Team Innova in the 2022 season. 
Hailey has had a great start to her year in 2023 so far, with two DGPT top ten finishes. Just last weekend, she took 3rd place at the first Major of the year, the Champions Cup. Her strong results are in large part due to her focus on being healthy in both body and mind before stepping on the course.
Hailey has worked hard over the past two seasons to prevent burnout, maintain a positive headspace, and reaffirm her love for the game. Her commitment to her mental and physical health should be a lesson to other players. She makes decisions aimed at long-term success, taking time when she needs it to recover and reassess. Placing that kind of emphasis on longevity will keep Hailey at the top of the game for as long as she puts in the work.","Charlotte, North Carolina, United States",Innova,1/1/2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heidi Laine,,10,# 10,,"{'name': 'Heidi Laine Letter of Intent.pdf', 'size': 245238, 'type': 'file', 'url': 'https://cloud.seatable.io/workspace/48226/asset/f2f8b3d1-e99d-49fa-97f5-8997b41678f5/files/2024-09/Heidi%20Laine%20Letter%20of%20Intent.pdf', 'upload_time': '2024-09-25T13:04:31.457+00:00'}","The star moments of Heidi's career from Jyväskylä include winning the European Pro Tour 2022.
Since 2015, Heidi has won nine SM medals in individual competitions and one in the team competition. Heidi achieved her first women's open class Finnish championship in Lahti 2023. Heidi finished second in the 2023 European Open.
Laine is known for his long throws. In 2022, Heidi reached the Finnish long throw championship with her throw of 151.9 meters, and at the same time broke the Finnish record in the women's category, which was almost 37 years old.
Heidi has dominated the domestic Pro Tour in recent years, achieving two consecutive overall competition wins in 2021-2022.
​
![](https://lh3.googleusercontent.com/a-/ALV-UjUrrgyVZhSlmezTO_KUXWMXZzsvfrLsUdsUsyjmJN86aimNHuus=s80-p)
|   | Mon, Sep 23, 12:10 AM (1 day ago) |   | ![](https://mail.google.com/mail/u/0/images/cleardot.gif)![](https://mail.google.com/mail/u/0/images/cleardot.gif) |
| - | --------------------------------- | - | ------------------------------------------------------------------------------------------------------------------ |
|   |                                   |   |                                                                                                                    |
Hello Andrew and Dustin,I hope this email finds you well. My name is Jeremia Merelä and I am the manager for professional disc golfer Heidi Laine.Heidi is a well trained professional, who has a great personality and always welcomes you with a big smile. She also is one of the most hard working FPO disc golfers, who is training with two different coaches and also works with me and our other partners very well.As you may know, she won the FPO Distance Championship at the World's just over a month ago. Her ability to throw is definitely top notch, and she is constantly making the highlight reels. Her career has been developing the past years, she works hard to climb up to the top of the world as she practises 10 times per week during the off-season, and also as much that's reasonable during the season.My role is to help her with all the partner / contract negotiations, as well as helping her with social media posts and visibility. My full-time job is to work in the digital marketing field, as I have my own agency with eight employees. We create websites and do Google MarketingsHeidi told me that you will be at USDGC / TPWDGC, so possibly we will be able to meet and have a chat there about your goals and plans for next year? Heidi has briefed me about your ideas, but if you have more information to share, I'm happy to hear them.If you have any questions, please don't hesitate to ask.Have a great week!Best regards,Jeremia MereläManager at Team Heidi Laine / Founder and CEO of Team3+358 40 706 6996![](https://ci3.googleusercontent.com/mail-sig/AIorK4zO5bEpJPD0B8AD4Zrsu4fyd_Ys7JQqUNzgk882bWNvlLbG-vpsjIpuFYbvIY1qlC62uKhROyD_d13K)","Hämeenlinna, Finland",Clash Discs,1/1/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
